file_name,sentence,sentence_language,actor,emotion_expressed
1614951631538.wav,E’ andato a scuola dopo pranzo,italian,d4bbc5043503b9aed309ede00854ee48937684b57a1cc030ee5f42986fbfed7c,anger
1613671614352.wav,Tornerà a casa presto,italian,b830cbf6e79aeeeec1fbf2ef3be741628ffc574c9b15f30634b8e8cc56bd17b9,anger
1613994293936.wav,Vado in biblioteca,italian,acdd987f9c1700b25898d3bd30c201df5ad4f34b3ca5ebeb7a8f02d240eeb864,anger
1617135480050.wav,E’ andato a scuola dopo pranzo,italian,28043d2516f2d956b81ce66cc01fbd427ac54ff1eb3a07dae906e9be50a92024,anger
1613658275427.wav,Zia Marta ha detto che devo stare a casa stasera,italian,5b8476bb94a4a1a17df32b417ec035029f48e4487c9055203fb02353eccd46a1,anger
1613562322650.wav,E’ una notte stellata,italian,4627bdb3ed141168a5e8663c86bfae205566c5bd27779a19c8d83791df8c9474,anger
1613324357435.wav,Tornerà a casa presto,italian,f78d765ec69ed2306cf544ae70b352f27ac00ced795ad5a4014e480d6f653395,anger
1614274086698.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,33fae0227059f08853c11257fe73f4976d4527614588b9b30289c213fea025c9,anger
1612982146424.wav,E’ andato a scuola dopo pranzo,italian,b3c7c357c77848765caaded035be8800169fb4dc53996f78ed5b0b24403427f4,anger
1613493366347.wav,Il capo mi ha affidato un altro lavoro,italian,9168b364a8f5456e8e2a5f2666ae4c0541fafe4bf87cdd15f4ad13b3459dd23a,anger
1613378571270.wav,E’ andato a scuola dopo pranzo,italian,e7d486b923ff5d70ab28d1f0383f613f4e2d4e02514966f3ff6cdc7446b2f3cd,anger
1614358680245.wav,Ieri un gatto ha bevuto dalla tazza,italian,2dcd7cd5193e3cf64ec3bedf3bcdf4b8e91acf472550053bf6c6436bb9871b08,anger
1613467075686.wav,E’ andato a scuola dopo pranzo,italian,4aa97df0f04f62f7f564695f551e2f7f0c38fa4a9ced680b5f5e2e403648fcca,anger
1613472729970.wav,Tornerà a casa presto,italian,f8710902ce31a673185ffd93d3140f32bea4098fee10e39532557626b4d05efb,anger
1613586149044.wav,Non sapevo che fosse in città,italian,0ec8b058931916615ae00bce3d91a997ae440eb9d51ac35d26456a51695036d7,anger
1614274175492.wav,Vorrei il numero telefonico del Signor Piatti,italian,33fae0227059f08853c11257fe73f4976d4527614588b9b30289c213fea025c9,anger
1614266094803.wav,Non sapevo che fosse in città,italian,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
1616149732681.wav,Il capo mi ha affidato un altro lavoro,italian,da69a545ccd6500d3d5ef76d48c097ac794b42b4570edd2eb00e539c0667ce10,anger
1613405836816.wav,Ieri un gatto ha bevuto dalla tazza,italian,415eb3920eb4b3d4645eb42bae62fd32cdd3e731c2662cbb0d480c3792b43066,anger
1614278852934.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,5dfd46e27a5e3e8e06fcb92817b0955f7fd28048f5003bfd4e5be8e67bf417db,anger
1615229375102.wav,Non sapevo che fosse in città,italian,253387e8620ee1896c76809782406e139bce35860aaa0d61991965319ba0dc32,anger
1614080693522.wav,Tornerà a casa presto,italian,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
1613832224152.wav,E’ una notte stellata,italian,509ce83c88888f7d75edabc19670ab07530413773ce7be5c2aee2a6b98638de7,anger
1614409808909.wav,Ho preso 6 nella verifica di matematica,italian,7a49d0e37774f8a5296044c04481158b1264d9f7b9a2029223f5c4b139418860,anger
1613824074999.wav,Ho preso 6 nella verifica di matematica,italian,bf4fccd616251b678c56b9cb7a46819b1266853c180637642f5bc7d6b01f5554,anger
1617135448748.wav,Zia Marta ha detto che devo stare a casa stasera,italian,28043d2516f2d956b81ce66cc01fbd427ac54ff1eb3a07dae906e9be50a92024,anger
1614241720253.wav,Vorrei il numero telefonico del Signor Piatti,italian,5e05cb515b5e6aee84325a8ceeb28a92c2d8d01c6b0f4bb0e743bd04ece7557e,anger
1614254491929.wav,Non sapevo che fosse in città,italian,8b570a0a4945d7f287736e47dd57040be331d8027cc434153b1eea199ca4b147,anger
1616245413705.wav,Giovanni parte per Roma domani,italian,8af2fa1c3331a1354123146e5ef92f0ca499da94d5135246d119c922a02faba2,anger
1614602587256.wav,E’ una notte stellata,italian,2116b7b5ba182d8fbc46f79f93be85190a70051c85d8f0650b8ddfdf9ef0dec5,anger
1615228091771.wav,Ieri un gatto ha bevuto dalla tazza,italian,65e82fb525a08de54935534a2da2ff0c464eec8a0d4d8d5abc1e5fcf6ea37408,anger
1612887953018.wav,Tornerà a casa presto,italian,7c878d2b0e66ca031b5ab080c5d72bf3e745b2b4516328cff6ecc7113c4d07b2,anger
1614799092895.wav,Il cane ha riportato qui la palla,italian,1cd62752ceb5d75ca20a834e891d7bb0b5a6e218724761f7fad1605af89f25ca,anger
1616505237674.wav,La cascata fa molto rumore,italian,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
1613653182817.wav,L’ho incontrato oggi dopo 2 anni,italian,d025f207376489fde96cf5f49b4733dd1eb16b188a60643ab438907f715aa585,anger
1613562390332.wav,L’ho incontrato oggi dopo 2 anni,italian,4627bdb3ed141168a5e8663c86bfae205566c5bd27779a19c8d83791df8c9474,anger
1613491973853.wav,Vado in biblioteca,italian,9826b1ccf256d52255018dc0f525f81e07970f29d132a6f9bfd4a1ac1ab6664e,anger
1612982076287.wav,L’ho incontrato oggi dopo 2 anni,italian,b3c7c357c77848765caaded035be8800169fb4dc53996f78ed5b0b24403427f4,anger
1616006898391.wav,Vorrei il numero telefonico del Signor Piatti,italian,20ef422a2413d774f66bd50f6edd23c98758d89a67bf3c49995ae29f51519fa1,anger
1613326180308.wav,Zia Marta ha detto che devo stare a casa stasera,italian,db109cef7dea29ab1884febecc35c4398d5d7d10a76d54d6edcdd1c179b49f3f,anger
1614359087222.wav,L’ho incontrato oggi dopo 2 anni,italian,9299497bc321d5d9ece8f0e6f4932161650ff277c3446699bc45b73ce8595260,anger
1614205014579.wav,Gli operai si alzano presto,italian,b2bf7455e63d99ee9db25bd7d20fbc7f4af1687f68286bba3ab68c223204d21a,anger
1613327358504.wav,L’ho incontrato oggi dopo 2 anni,italian,c0fde790c8900bbbac6957c9ee52eacc1b5d77848c779e2113ee9ee45b7eaa09,anger
1616245944988.wav,Gli operai si alzano presto,italian,d2a5da287e6ad3219943b56362ad9106e26b5f131841b4aab074b86913eab532,anger
1613930149998.wav,Giovanni parte per Roma domani,italian,1718aa7e2d0821e3ade5783b4e045ab5930ec22054a0fe5e80146dfce17fae3d,anger
1614175494461.wav,Vorrei il numero telefonico del Signor Piatti,italian,779562b086bb57bfe27509a43b72b47612f9a64815e53a5a9f48140de037eb5d,anger
1614067055983.wav,Vorrei il numero telefonico del Signor Piatti,italian,55fc0a5c4fd6c3fa7229693d5dae186842266785dedb80fd9b8a29b8fee8b364,anger
1614601519175.wav,Vorrei il numero telefonico del Signor Piatti,italian,2116b7b5ba182d8fbc46f79f93be85190a70051c85d8f0650b8ddfdf9ef0dec5,anger
1613478744873.wav,Oggi c’è una partita di basket,italian,e61c967ecc0fae999d10c15d02651ffe305abe702e3a0387ba4d3fb5cddfb7c3,anger
1614016795543.wav,Il capo mi ha affidato un altro lavoro,italian,01de3a316dafa26a6e15d40720bc94e0706da6e0831274ea04dc25bccf87de9b,anger
1614368099633.wav,La cascata fa molto rumore,italian,58b67a68595dcb3ea620a5ecb43342294dbb6cfe83ab6c70a35618794eb1bca0,anger
1617866127603.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,b4189dd17472e71d49fa457e3d8ce9392f8960203c2592ec27f6863246a94497,anger
1614023374579.wav,Vorrei il numero telefonico del Signor Piatti,italian,a67c15fc95e0cf1fe2c20da7b35721626162508a7f180cd025b09be79229c782,anger
1616504932463.wav,Oggi c’è una partita di basket,italian,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
1614349528708.wav,Vorrei il numero telefonico del Signor Piatti,italian,a1c2d05656b9041ce76a61d23aef096635931217a5cf8b8dd4249cc067ee3ac7,anger
1615113976237.wav,Vado in biblioteca,italian,37d2ebf8f95bac9ef8cc9289598304b9556630df262060c1da18fe38ebf6b9e0,anger
1613491958317.wav,Oggi c’è una partita di basket,italian,9826b1ccf256d52255018dc0f525f81e07970f29d132a6f9bfd4a1ac1ab6664e,anger
1616239435827.wav,Il capo mi ha affidato un altro lavoro,italian,032bd54539dc739de8c4d77eda2bee1f933a6dd243e4447977b6b39b4d4f83bb,anger
1614030631527.wav,E’ andato a scuola dopo pranzo,italian,c09213cf20b32fe2436b92ded92caeed5d938b454c0cd94fea66658823c812b3,anger
1614118239063.wav,E’ impegnato in una riunione,italian,acdd987f9c1700b25898d3bd30c201df5ad4f34b3ca5ebeb7a8f02d240eeb864,anger
1614013028307.wav,Zia Marta ha detto che devo stare a casa stasera,italian,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
